;masa A;;
t;x;vx;
0.000;6.526E-3;
0.033;8.350E-3;8.783E-2
0.067;1.238E-2;0.163
0.100;1.920E-2;0.204
0.133;2.603E-2;0.190
0.167;3.188E-2;0.205
0.200;3.968E-2;0.190
0.233;4.456E-2;0.176
0.267;5.138E-2;0.205
0.300;5.821E-2;0.161
0.333;6.211E-2;0.146
0.367;6.796E-2;0.190
0.400;7.478E-2;0.146
0.433;7.771E-2;8.779E-2
0.467;8.063E-2;0.126
0.500;8.613E-2;0.164
0.533;9.154E-2;0.157
0.567;9.661E-2;0.152
0.600;0.102;0.145
0.633;0.106;0.157
0.667;0.112;0.170
0.700;0.118;0.158
0.733;0.123;0.151
0.767;0.128;0.143
0.800;0.132;0.145
0.833;0.137;0.157
0.867;0.143;0.157
0.900;0.148;0.145
0.933;0.152;0.143
0.967;0.157;0.151
1.000;0.162;0.151
1.033;0.167;0.137
1.067;0.171;0.137
1.100;0.177;0.137
1.133;0.181;0.129
1.167;0.185;0.151
1.200;0.191;0.150
1.233;0.195;0.143
1.266;0.200;0.152
1.300;0.205;0.151
1.333;0.210;0.157
1.366;0.216;0.150
1.400;0.220;0.124
1.433;0.224;0.117
1.466;0.228;0.129
1.500;0.233;0.123
1.533;0.236;0.123
1.566;0.241;0.123
1.600;0.245;0.103
1.633;0.248;8.830E-2
1.666;0.250;7.642E-2
1.700;0.253;7.613E-2
1.733;0.255;8.068E-2
1.766;0.258;9.639E-2
1.800;0.262;8.977E-2
1.833;0.264;8.784E-2
1.866;0.268;9.485E-2
1.900;0.271;9.808E-2
1.933;0.274;9.031E-2
1.966;0.277;9.432E-2
2.000;0.281;0.102
2.033;0.283;8.891E-2
2.066;0.287;9.661E-2
2.100;0.290;0.103
2.133;0.293;0.110
2.166;0.297;0.103
2.200;0.300;9.521E-2
2.233;0.303;0.102
2.266;0.307;0.104
2.300;0.310;0.102
2.333;0.314;0.109
2.366;0.318;9.658E-2
2.400;0.320;8.199E-2
2.433;0.323;8.986E-2
2.466;0.326;9.612E-2
2.500;0.329;8.880E-2
2.533;0.332;8.139E-2
2.566;0.335;7.433E-2
2.600;0.337;6.145E-2
2.633;0.339;
