t;x;vx
0.000;3.755E-3;
0.033;6.065E-3;4.352E-2
0.067;6.657E-3;6.690E-2
0.100;1.053E-2;0.102
0.133;1.343E-2;2.910E-2
0.167;1.246E-2;5.803E-2
0.200;1.730E-2;4.621E-2
0.233;1.554E-2;9.537E-4
0.267;1.736E-2;5.495E-2
0.300;1.921E-2;5.435E-2
0.333;2.098E-2;5.385E-2
0.367;2.280E-2;5.434E-2
0.400;2.460E-2;5.345E-2
0.433;2.636E-2;5.381E-2
0.467;2.819E-2;5.505E-2
0.500;3.003E-2;5.504E-2
0.533;3.186E-2;5.447E-2
0.567;3.366E-2;5.444E-2
0.600;3.549E-2;5.454E-2
0.633;3.729E-2;5.404E-2
0.667;3.909E-2;5.394E-2
0.700;4.089E-2;6.145E-2
0.733;4.318E-2;6.133E-2
0.767;4.497E-2;5.360E-2
0.800;4.676E-2;5.439E-2
0.833;4.861E-2;5.439E-2
0.867;5.039E-2;5.462E-2
0.900;5.225E-2;5.450E-2
0.933;5.402E-2;5.393E-2
0.967;5.584E-2;5.431E-2
1.000;5.764E-2;5.446E-2
1.033;5.947E-2;5.423E-2
1.066;6.126E-2;4.784E-2
1.100;6.266E-2;4.699E-2
1.133;6.439E-2;4.722E-2
1.166;6.581E-2;4.168E-2
1.200;6.717E-2;4.782E-2
1.233;6.900E-2;4.678E-2
1.266;7.029E-2;4.054E-2
1.300;7.170E-2;4.126E-2
1.333;7.304E-2;4.040E-2
1.366;7.439E-2;4.130E-2
1.400;7.579E-2;4.074E-2
1.433;7.711E-2;4.023E-2
1.466;7.847E-2;4.077E-2
1.500;7.982E-2;4.083E-2
1.533;8.119E-2;4.087E-2
1.566;8.255E-2;4.006E-2
1.600;8.386E-2;3.411E-2
1.633;8.482E-2;3.480E-2
1.666;8.618E-2;4.088E-2
1.700;8.755E-2;4.093E-2
1.733;8.891E-2;4.074E-2
1.766;9.026E-2;4.067E-2
1.800;9.162E-2;4.096E-2
1.833;9.299E-2;4.073E-2
1.866;9.434E-2;4.115E-2
1.900;9.574E-2;4.688E-2
1.933;9.746E-2;4.659E-2
1.966;9.884E-2;4.824E-2
2.000;0.101;4.750E-2
2.033;0.102;4.120E-2
2.066;0.103;4.752E-2
2.100;0.105;4.653E-2
2.133;0.107;4.108E-2
2.166;0.108;4.151E-2
2.200;0.109;4.710E-2
2.233;0.111;4.699E-2
2.266;0.112;4.159E-2
2.300;0.114;4.073E-2
2.333;0.115;4.102E-2
2.366;0.117;4.189E-2
2.400;0.118;4.058E-2
2.433;0.119;4.024E-2
2.466;0.121;4.018E-2
2.500;0.122;4.007E-2
2.533;0.123;4.013E-2
2.566;0.125;3.513E-2
2.600;0.126;3.440E-2
2.633;0.127;3.989E-2
2.666;0.128;4.041E-2
2.700;0.130;4.053E-2
2.733;0.131;3.570E-2
2.766;0.132;3.430E-2
2.800;0.133;3.945E-2
2.833;0.135;4.067E-2
2.866;0.136;4.075E-2
2.900;0.137;4.086E-2
2.933;0.139;4.006E-2
2.966;0.140;4.013E-2
3.000;0.141;4.154E-2
3.033;0.143;3.498E-2
3.066;0.144;3.446E-2
3.099;0.145;3.984E-2
3.133;0.146;3.379E-2
3.166;0.147;3.414E-2
3.199;0.149;3.466E-2
3.233;0.150;3.395E-2
3.266;0.151;3.946E-2
3.299;0.152;3.450E-2
3.333;0.153;3.435E-2
3.366;0.155;4.072E-2
3.399;0.156;3.427E-2
3.433;0.157;3.392E-2
3.466;0.158;4.049E-2
3.499;0.160;3.452E-2
3.533;0.160;3.378E-2
3.566;0.162;4.021E-2
3.599;0.163;3.472E-2
3.633;0.164;3.375E-2
3.666;0.165;4.021E-2
3.699;0.167;3.424E-2
3.733;0.168;3.340E-2
3.766;0.169;3.970E-2
3.799;0.170;3.482E-2
3.833;0.171;3.462E-2
3.866;0.173;3.964E-2
3.899;0.174;3.414E-2
3.933;0.175;3.451E-2
3.966;0.176;4.060E-2
3.999;0.178;3.448E-2
4.033;0.179;3.403E-2
4.066;0.180;4.025E-2
4.099;0.181;3.426E-2
4.133;0.182;3.441E-2
4.166;0.184;4.059E-2
4.199;0.185;3.385E-2
4.233;0.186;2.673E-2
4.266;0.187;3.435E-2
4.299;0.188;3.484E-2
4.333;0.189;3.336E-2
4.366;0.190;3.395E-2
4.399;0.191;3.450E-2
4.433;0.193;3.423E-2
4.466;0.194;3.321E-2
4.499;0.195;3.411E-2
4.533;0.196;3.475E-2
4.566;0.197;3.355E-2
4.599;0.198;3.400E-2
4.633;0.199;3.369E-2
4.666;0.200;3.302E-2
4.699;0.202;3.426E-2
4.733;0.203;3.419E-2
4.766;0.204;2.917E-2
4.799;0.205;-6.038E-2
4.833;0.200;
