t;x;vx
0.000;3.783E-3;
0.033;7.542E-3;0.103
0.067;1.066E-2;0.112
0.100;1.502E-2;0.144
0.133;2.027E-2;0.158
0.167;2.554E-2;0.162
0.200;3.107E-2;0.172
0.233;3.703E-2;0.183
0.267;4.330E-2;0.190
0.300;4.971E-2;0.193
0.333;5.617E-2;0.195
0.367;6.273E-2;0.198
0.400;6.939E-2;0.197
0.433;7.586E-2;0.188
0.467;8.193E-2;0.180
0.500;8.784E-2;0.172
0.533;9.339E-2;0.160
0.567;9.850E-2;0.152
0.600;0.103;0.144
0.633;0.108;0.132
0.667;0.112;0.125
0.700;0.116;0.123
0.733;0.120;0.117
0.767;0.124;0.111
0.800;0.128;0.106
0.833;0.131;0.103
0.866;0.135;0.102
0.900;0.138;9.719E-2
0.933;0.141;9.701E-2
0.966;0.144;9.609E-2
1.000;0.148;9.553E-2
1.033;0.151;9.175E-2
1.066;0.154;8.984E-2
1.100;0.157;9.367E-2
1.133;0.160;9.086E-2
1.166;0.163;8.976E-2
1.200;0.166;9.027E-2
1.233;0.169;8.982E-2
1.266;0.172;8.778E-2
1.300;0.175;8.302E-2
1.333;0.178;8.255E-2
1.366;0.180;7.730E-2
1.400;0.183;7.765E-2
1.433;0.185;8.728E-2
1.466;0.188;8.822E-2
1.500;0.191;8.503E-2
1.533;0.194;8.975E-2
1.566;0.197;8.892E-2
1.600;0.200;8.902E-2
1.633;0.203;8.999E-2
1.666;0.206;9.005E-2
1.700;0.209;9.535E-2
1.733;0.212;9.646E-2
1.766;0.216;9.700E-2
1.800;0.219;9.839E-2
1.833;0.222;0.103
1.866;0.226;0.102
1.900;0.229;9.722E-2
1.933;0.232;9.692E-2
1.966;0.235;9.624E-2
2.000;0.239;9.045E-2
2.033;0.241;8.959E-2
2.066;0.245;8.837E-2
2.100;0.247;8.308E-2
2.133;0.250;8.858E-2
2.166;0.253;9.084E-2
2.200;0.256;9.023E-2
2.233;0.259;8.935E-2
2.266;0.262;9.042E-2
2.300;0.265;8.883E-2
2.333;0.268;8.287E-2
2.366;0.271;8.237E-2
2.400;0.274;8.174E-2
2.433;0.276;7.783E-2
2.466;0.279;7.604E-2
2.500;0.281;7.510E-2
2.533;0.284;7.609E-2
2.566;0.286;7.492E-2
2.600;0.289;6.932E-2
2.633;0.291;6.843E-2
2.666;0.293;6.363E-2
2.700;0.295;6.263E-2
2.733;0.298;6.700E-2
2.766;0.300;6.318E-2
2.800;0.302;6.173E-2
2.833;0.304;6.120E-2
2.866;0.306;5.663E-2
2.899;0.308;5.540E-2
2.933;0.309;5.429E-2
2.966;0.311;5.397E-2
2.999;0.313;4.936E-2
3.033;0.315;4.866E-2
3.066;0.316;5.400E-2
3.100;0.318;5.529E-2
3.133;0.320;5.563E-2
3.166;0.322;5.660E-2
3.199;0.324;5.576E-2
3.233;0.326;
