t;x;vx
0.000;3.829E-3;
0.033;5.613E-3;6.082E-2
0.067;7.882E-3;7.524E-2
0.100;1.064E-2;8.790E-2
0.133;1.375E-2;9.803E-2
0.167;1.717E-2;0.106
0.200;2.083E-2;0.114
0.233;2.478E-2;0.121
0.267;2.887E-2;0.125
0.300;3.310E-2;0.127
0.333;3.735E-2;0.130
0.367;4.174E-2;0.132
0.400;4.617E-2;0.123
0.433;4.992E-2;8.982E-2
0.467;5.216E-2;6.817E-2
0.500;5.447E-2;6.881E-2
0.533;5.674E-2;6.162E-2
0.567;5.857E-2;5.555E-2
0.600;6.045E-2;5.726E-2
0.633;6.239E-2;6.082E-2
0.667;6.450E-2;5.963E-2
0.700;6.636E-2;5.634E-2
0.733;6.826E-2;5.588E-2
0.767;7.009E-2;5.532E-2
0.800;7.195E-2;5.481E-2
0.833;7.374E-2;5.533E-2
0.867;7.563E-2;6.056E-2
0.900;7.778E-2;5.993E-2
0.933;7.963E-2;5.488E-2
0.967;8.144E-2;5.450E-2
1.000;8.326E-2;5.524E-2
1.033;8.512E-2;5.573E-2
1.067;8.698E-2;5.499E-2
1.100;8.878E-2;5.417E-2
1.133;9.059E-2;5.368E-2
1.167;9.236E-2;5.404E-2
1.200;9.419E-2;4.924E-2
1.233;9.564E-2;4.845E-2
1.266;9.742E-2;5.384E-2
1.300;9.923E-2;5.518E-2
1.333;0.101;5.525E-2
1.367;0.103;5.464E-2
1.400;0.105;5.604E-2
1.433;0.107;6.113E-2
1.467;0.109;6.036E-2
1.500;0.111;5.545E-2
1.533;0.113;4.956E-2
1.566;0.114;4.228E-2
1.600;0.115;3.899E-2
1.633;0.117;3.309E-2
1.666;0.118;2.758E-2
1.700;0.118;2.746E-2
1.733;0.119;2.748E-2
1.766;0.120;2.663E-2
1.800;0.121;2.177E-2
1.833;0.122;2.135E-2
1.866;0.123;2.059E-2
1.900;0.123;2.037E-2
1.933;0.124;2.772E-2
1.966;0.125;2.817E-2
2.000;0.126;2.611E-2
2.033;0.127;2.617E-2
2.066;0.128;2.706E-2
2.100;0.128;2.707E-2
2.133;0.129;2.730E-2
2.166;0.130;2.894E-2
2.200;0.131;2.910E-2
2.233;0.132;2.691E-2
2.266;0.133;2.585E-2
2.300;0.134;2.034E-2
2.333;0.134;1.488E-2
2.366;0.135;2.074E-2
2.400;0.136;3.287E-2
2.433;0.137;4.085E-2
2.466;0.139;4.145E-2
2.500;0.140;3.422E-2
2.533;0.141;2.073E-2
2.566;0.141;1.351E-2
2.600;0.142;1.383E-2
2.633;0.142;2.166E-2
2.666;0.143;3.441E-2
2.700;0.144;3.365E-2
2.733;0.145;2.055E-2
2.766;0.146;1.389E-2
2.800;0.146;2.020E-2
2.833;0.147;2.705E-2
2.866;0.148;3.454E-2
2.900;0.150;3.373E-2
2.933;0.150;2.028E-2
2.966;0.151;1.448E-2
3.000;0.151;1.541E-2
3.033;0.152;2.186E-2
3.066;0.153;3.251E-2
3.100;0.154;3.241E-2
3.133;0.155;2.047E-2
3.166;0.155;1.392E-2
3.200;0.156;2.055E-2
3.233;0.157;2.707E-2
3.266;0.158;2.742E-2
3.300;0.159;2.075E-2
3.333;0.159;1.353E-2
3.366;0.160;1.341E-2
3.400;0.160;1.378E-2
3.433;0.160;2.089E-2
3.466;0.161;2.758E-2
3.499;0.162;2.111E-2
3.533;0.163;1.409E-2
3.566;0.163;1.296E-2
3.599;0.164;7.671E-3
3.633;0.164;7.698E-3
3.666;0.164;1.234E-2
3.700;0.165;1.306E-2
3.733;0.165;1.371E-2
3.766;0.165;1.340E-2
3.800;0.166;1.399E-2
3.833;0.166;1.403E-2
3.866;0.167;2.026E-2
3.899;0.168;2.798E-2
3.933;0.169;3.433E-2
3.966;0.170;4.026E-2
3.999;0.171;2.092E-2
4.033;0.171;9.758E-4
4.066;0.171;7.029E-3
4.099;0.172;1.456E-2
4.133;0.172;2.042E-2
4.166;0.173;1.916E-2
4.199;0.174;2.036E-2
4.233;0.175;2.037E-2
4.266;0.175;1.471E-2
4.299;0.176;2.046E-2
4.333;0.176;1.957E-2
4.366;0.177;8.347E-3
4.399;0.177;6.175E-3
4.433;0.177;6.859E-3
4.466;0.177;6.986E-3
4.499;0.178;1.151E-2
4.533;0.178;8.720E-3
4.566;0.178;7.907E-3
4.599;0.179;1.191E-2
4.633;0.179;1.317E-2
4.666;0.180;2.038E-2
4.699;0.181;2.744E-2
4.733;0.181;2.144E-2
4.766;0.182;1.362E-2
4.799;0.182;1.270E-2
4.833;0.183;1.349E-2
4.866;0.183;8.507E-3
4.899;0.183;7.521E-3
4.933;0.184;1.232E-2
4.966;0.184;1.359E-2
4.999;0.185;1.401E-2
5.033;0.185;1.334E-2
5.099;0.186;1.355E-2
5.133;0.186;1.400E-2
5.166;0.187;1.373E-2
5.199;0.187;1.384E-2
5.233;0.188;1.391E-2
5.266;0.188;7.709E-3
5.299;0.188;7.399E-3
5.333;0.189;1.297E-2
5.366;0.189;1.324E-2
5.399;0.190;
